Name,FIPS,State,Population,Poverty
Roseau County,27135,MN,15060,1219
Traverse County,27155,MN,3225,319
Becker County,27005,MN,33430,3678
Hennepin County,27053,MN,1223987,127872
Brown County,27015,MN,24075,1670
Chippewa County,27023,MN,11724,1095
Clearwater County,27029,MN,8619,1260
Goodhue County,27049,MN,45342,4230
Isanti County,27059,MN,38942,2850
Jackson County,27063,MN,9766,768
Mower County,27099,MN,39053,5277
Pine County,27115,MN,27418,3027
Olmsted County,27109,MN,152624,12864
Wadena County,27159,MN,13304,1907
Benton County,27009,MN,39449,4071
Freeborn County,27047,MN,29923,3295
Itasca County,27061,MN,44098,5376
Pope County,27121,MN,10854,779
Stevens County,27149,MN,9491,1178
Swift County,27151,MN,9228,1155
Cottonwood County,27033,MN,11065,1214
Scott County,27139,MN,143352,7896
Wabasha County,27157,MN,21322,1651
Pipestone County,27117,MN,9034,1056
Norman County,27107,MN,6351,562
Nicollet County,27103,MN,31585,3117
Douglas County,27041,MN,37037,2814
Grant County,27051,MN,5868,566
Kittson County,27069,MN,4151,466
Le Sueur County,27079,MN,27986,2389
Mahnomen County,27087,MN,5391,1254
Chisago County,27025,MN,53761,3210
Redwood County,27127,MN,14900,1508
Yellow Medicine County,27173,MN,9592,1130
Todd County,27153,MN,24186,2871
Beltrami County,27007,MN,43962,8306
Blue Earth County,27013,MN,63316,11148
Houston County,27055,MN,18378,1451
Lac qui Parle County,27073,MN,6576,547
Lake of the Woods County,27077,MN,3713,399
Otter Tail County,27111,MN,57190,5328
Waseca County,27161,MN,17693,1718
St. Louis County,27137,MN,191809,26991
Anoka County,27003,MN,346853,20427
Stearns County,27145,MN,151561,19552
Dakota County,27037,MN,418832,25333
Lyon County,27083,MN,24560,3473
Marshall County,27089,MN,9265,637
Renville County,27129,MN,14231,1420
Washington County,27163,MN,252232,10822
Cook County,27031,MN,5322,670
Knox County,29103,MO,3874,728
Montgomery County,29139,MO,11086,1804
Stoddard County,29207,MO,28854,5264
Audrain County,29007,MO,23501,3540
Greene County,29077,MO,277987,45603
St. Clair County,29185,MO,9021,1544
Schuyler County,29197,MO,4493,799
Camden County,29029,MO,44711,6599
Jefferson County,29099,MO,221148,21195
New Madrid County,29143,MO,17160,3809
Ralls County,29173,MO,10095,1381
Blaine County,31009,NE,477,62
Deuel County,31049,NE,1812,159
Logan County,31113,NE,918,104
Thayer County,31169,NE,4880,474
Adams County,31001,NE,29968,3750
Boone County,31011,NE,5171,302
Rock County,31149,NE,1338,71
Sherman County,31163,NE,2965,368
Howard County,31093,NE,6388,505
Gosper County,31073,NE,1968,107
Sarpy County,31153,NE,179078,10654
Boyd County,31015,NE,1898,172
Fillmore County,31059,NE,5318,469
Hooker County,31091,NE,659,101
Seward County,31159,NE,15704,1019
Webster County,31181,NE,3438,371
Butler County,31023,NE,7824,563
Arthur County,31005,NE,427,57
Gage County,31067,NE,21117,2251
Kearney County,31099,NE,6442,637
Madison County,31119,NE,34009,5069
Phelps County,31137,NE,8798,841
Wayne County,31179,NE,8036,983
Knox County,31107,NE,8217,763
Merrick County,31121,NE,7625,915
Pawnee County,31133,NE,2610,492
Wheeler County,31183,NE,783,103
Winnebago County,19189,IA,9860,884
Shelby County,19165,IA,11379,908
Appanoose County,19007,IA,12294,2170
Iowa County,19095,IA,15876,1388
Page County,19145,IA,14141,1619
Winneshiek County,19191,IA,18014,1480
Pottawattamie County,19155,IA,91022,9765
Marshall County,19127,IA,38675,4651
Boone County,19015,IA,25917,1973
Buena Vista County,19021,IA,19037,2462
Howard County,19089,IA,8994,810
Guthrie County,19077,IA,10532,914
Humboldt County,19091,IA,9419,1225
Madison County,19121,IA,15791,795
Stark County,38089,ND,30359,2660
Wells County,38103,ND,3902,336
Burke County,38013,ND,2169,127
Mountrail County,38061,ND,10264,1072
Williams County,38105,ND,34454,2108
Billings County,38007,ND,922,86
Kidder County,38043,ND,2434,262
Cavalier County,38019,ND,3696,406
Grant County,38037,ND,2295,297
McHenry County,38049,ND,5802,483
Steele County,38091,ND,1739,100
Benson County,38005,ND,6813,2174
LaMoure County,38045,ND,4032,592
Morton County,38059,ND,30221,2240
Dunn County,38025,ND,4306,347
McIntosh County,38051,ND,2480,245
Nelson County,38063,ND,2822,325
Rolette County,38079,ND,14245,3863
Walsh County,38099,ND,10552,958
Bottineau County,38009,ND,6165,591
Barnes County,38003,ND,10183,1155
Grand Forks County,38035,ND,65893,10662
McKenzie County,38053,ND,13157,1490
McLean County,38055,ND,9432,751
Pierce County,38069,ND,3964,663
Renville County,38075,ND,2376,87
Bowman County,38011,ND,3069,238
Burleigh County,38015,ND,91638,7392
Logan County,38047,ND,1796,130
