State,County,County Code,Deaths
Missouri,"Texas County, MO",29215,10
Missouri,"Warren County, MO",29219,12
Missouri,"Webster County, MO",29225,10
Missouri,"St. Louis city, MO",29510,97
Missouri,,,1567
Nebraska,"Dawson County, NE",31047,10
Nebraska,"Douglas County, NE",31055,98
Nebraska,"Hall County, NE",31079,13
Nebraska,"Lancaster County, NE",31109,49
Nebraska,"Lincoln County, NE",31111,14
Nebraska,"Madison County, NE",31119,13
Nebraska,"Sarpy County, NE",31153,24
Nebraska,,,387
North Dakota,"Burleigh County, ND",38015,22
North Dakota,"Cass County, ND",38017,48
North Dakota,"Grand Forks County, ND",38035,16
North Dakota,"Stutsman County, ND",38093,10
North Dakota,"Ward County, ND",38101,16
North Dakota,,,210
South Dakota,"Minnehaha County, SD",46099,33
South Dakota,"Pennington County, SD",46103,25
South Dakota,"Shannon County, SD",46113,16
South Dakota,,,218
,,,16424
,,,16424
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
